title,abstract,subject,duration,url
A Brief Course On Superconductivity,"The course mainly concerns with the electrodynamic response of the conventional superconductors, both at low and high frequencies. Besides, the course aims to introduce state of the art topics like, Josephson junctions, SQUID etc. More over the course provides introduction to the modern superconducting materials, such as the High-Tc CuO2 based superconductors, Carbon based and Iron superconductors. Especially with the prospects of realizing room temperature superconductivity
discovered in nanostructures by scientists at IISc Bangalore, the course will gain importance among interested audience.",ph,4,/noc/courses/noc22/SEM1/noc22-ph08
A Brief Introduction Of Micro - Sensors,"Main objective of this course is to introduce students to micro- and nano-scale devices. After successfully completing this short course, students will have an idea about MEMS and NEMS devices and their applications. They will know how to design, analyze and characterize a micro or nano system. They will also have an idea about MEMS fabrication.",ee,4,/noc/courses/noc22/SEM1/noc22-ee36
A Study Guide In Organic Retrosynthesis: Problem Solving Approach,"Organic synthesis of small molecules is the most challenging and intriguing area of research in the chemical science related disciplines. In the early 20th century, the field of synthetic organic chemistry, while established in many respects, was to continue a sharp path of progress and advancement for over a century to reach the level of power and sophistication that it possesses today. This is a unique tool for accessing new chemical entities with great biological potential, which seems to be impossible to access from natural sources due to its scarce availability. In this coursework I will try to address various aspects of organic synthesis through a problem/puzzle solving approaches so that students can learn in an interactive manner and excel in competitive exams.",cy,12,/noc/courses/noc22/SEM1/noc22-cy30
Acoustic Materials And Metamaterials,"The study of electromagnetic and acoustic waves is an endeavor that dates back centuries. An important sub-domain of this field that effects our daily life is the use of acoustic principles to control environmental noise. In this regard, acoustic materials, which are materials designed to manipulate sound wave propagation, are of prime importance. Within this field, about three decades ago, the concept of metamaterials was proposed that has created a revolution. Theoretical formulation and experiments have shown the feasibility of realizing man-made acoustic metamaterials that can manipulate waves beyond the defined limits of those found in nature. Therefore, within a time span of 15 years, acoustic materials have emerged as an active field driven by scientific discoveries and diverse application potentials in machinery noise control, frequency filtering, speech transmission technology, acoustic imaging, and cloaking. This is the first-ever organized coursework on acoustic materials with a special focus on acoustic metamaterials. This course will cover the following topics:
1. Acoustic fundamentals 
2. Theory and design principles of acoustic barrier materials 
3. Theory and design principles of sound absorbing materials 
4. Limitations of conventional materials
5. Principles of acoustic metamaterials
6. Theory and design principles of membrane type metamaterials
7. Theory and design principles of sonic crystals
8. Guidelines for selecting acoustic materials",me,8,/noc/courses/noc22/SEM1/noc22-me01
Advanced Atmospheric Physics,"This course attempts to impart knowledge on advanced aspects of atmospheric and space physics. Starting with the basics of inertial and non-inertial forces and various dynamical phenomenon it leads to understanding various important aspects such as atmospheric waves and instabilities. The second half of the course is devoted to the understanding of various phenomenon related to ionosphere, the coupling between solar energy and magnetosphere, single particle motion in a variety of electric and magnetic fields, formation of earthâs radiation belts etc. This course can be an extension to the earlier NPTEL course: Introduction to atmospheric and space sciences.",ph,12,/noc/courses/noc22/SEM1/noc22-ph13
Advanced Chemical Thermodynamics And Kinetics,This course will cover classical/ macroscopic and statistical thermodynamics and kinetics developed to explain a variety of physico-chemical phenomena with applications in Chemistry. This course is designed as an advanced level course to the broad area of thermodynamics and kinetics and the lectures will be pitched at the level of advanced undergraduates (senior level) as well as graduate students.,cy,12,/noc/courses/noc22/SEM1/noc22-cy14
Advanced Composites,"This course is intended for all those who want to conduct experiments in area of NVH. Thus, the course is open to students of engineering and science, and also to all those who from the industry and research organizations â who are working in area of sound, NVH and acoustics. Each lecture will be followed by a quiz, which will help student the concepts better, and gain deeper insights to measurement process. The course is fairly generic so that there is no need for a particular background. Rather, what is needed is openness, and ability to learn and check out new ideas with comfort.",me,12,/noc/courses/noc22/SEM1/noc22-me51
Advanced Computer Architecture,Applications and handheld devices play a major role in ensuring comfort in our day- today life. These applications run on handheld electronic gadgets with high-end microprocessor support. Modern CPU designers handle challenges imposed by these applications with cost effective architectural enhancements. This course provides a deeper insight into the design of high-end microprocessors that will support the future applications.,cs,8,/noc/courses/noc22/SEM1/noc22-cs10
Advanced Condensed Matter Physics,"The Course deals with the prerequisite material for studying advanced level research in Condensed Matter Physics. The course begins with a preliminary discussion on second quantization, followed by zero temperature and Matsubara Greens functions. Applications to Hubbard model, Kane Mele model and superconductivity are discussed.",ph,8,/noc/courses/noc22/SEM1/noc22-ph09
Advanced Foundation Engineering,"The course will focus on the design of shallow foundation on sloping ground, layered soil and under inclined & eccentric loading conditions. Piles under uplift and lateral loading conditions will also be discussed. In the undergraduate core course on Foundation Engineering, these topics are either not covered or discussed in simplified form. In the proposed course, these advanced topics will be discussed in detail. This course is useful for both UG and PG student. The course is also suitable for students who are preparing for competitive examination. Field Engineers can be benefited from this course as the design of foundations under critical conditions (those are not generally covered in UG core foundation engineering course) will be discussed here.",ce,12,/noc/courses/noc22/SEM1/noc22-ce32
Advanced Graph Theory,"Advanced graph theory course features both the understanding and writing of proofs about graphs. Verifying that algorithms work is emphasized more than their complexity. Many algorithms and applications are included, but the focus is on understanding the structure of graphs and the techniques used to analyze problems in graph theory and taught to make coherent arguments in the fields of computer science on the topics of trees and distance, matchings and factors, connectivity and paths, graph coloring, edges and cycles, and planar graphs.",cs,8,/noc/courses/noc22/SEM1/noc22-cs17
